"","ensembl","beta","p.value","prod"
"6001","FBgn0035452",0.0139129471261199,0.405670665417156,0.00545145992417225
"3275","FBgn0030675",0.0029219329260578,0.405700011747235,0.00114479865150939
"2470","FBgn0028567",0.00546155499902531,0.405900052776068,0.00213864057939817
"4643","FBgn0032966",0.00750646158092439,0.405923536125131,0.00293919832051886
"9542","FBgn0051323",0.0036246878869322,0.405946672222567,0.00141917772527078
"10087","FBgn0053111",0.00329663370521146,0.40618383117901,0.00128989816075123
"10900","FBgn0261004",0.00194772051582301,0.406229508644212,0.000762003839110613
"2001","FBgn0025697",0.00472823304742289,0.406358227788335,0.00184916911836108
"5932","FBgn0035308",0.00438627287569756,0.406412337576945,0.00171517795249444
"7737","FBgn0038292",0.000645954624960693,0.406701291587528,0.000252390264513835
"10824","FBgn0260499",0.00381213512724162,0.406869783162312,0.00148880864555882
"4728","FBgn0033141",0.000782394967404316,0.407286891600137,0.00030521193825753
"7510","FBgn0037922",0.00515260276114917,0.407303844535315,0.00200993496551345
"1838","FBgn0024244",0.00565980234662562,0.407364848124046,0.00220741601540714
"7513","FBgn0037926",0.00555267391779111,0.407475645278756,0.00216497836434674
"6073","FBgn0035569",0.00698129282264978,0.407538319165333,0.00272152820251797
"1586","FBgn0020258",0.00570725092894671,0.407640184363074,0.00222424701464581
"9704","FBgn0051807",0.00651927867562326,0.407653186723541,0.00254062260567208
"10990","FBgn0261549",0.00408366808538564,0.407680196821292,0.00159132534768442
"4006","FBgn0031881",0.00443214761255546,0.407862391365063,0.00172626094642106
"10617","FBgn0250754",0.0017776357235354,0.408018066608164,0.000692070217817267
"9907","FBgn0052396",0.00416088799534164,0.408061693606359,0.00161972623035447
"10488","FBgn0085460",0.0072674045180447,0.408080934026958,0.00282886406498241
"5565","FBgn0034611",0.00453702283261356,0.408120932282242,0.0017658597832782
"605","FBgn0003721",0.00115096967072743,0.408243777851044,0.000447819769495074
"5422","FBgn0034381",0.00496772338547967,0.408411135904967,0.00193195967021372
"11507","FBgn0265276",0.00172137914477716,0.40848450594291,0.000669314233562567
"11401","FBgn0264078",0.00288292514053513,0.408488205084187,0.00112094033409613
"10267","FBgn0058198",0.00811775674855184,0.408793061895932,0.00315371995258153
"11205","FBgn0262613",0.00265361817660964,0.409327805527523,0.00102941478978046
"7134","FBgn0037320",0.00464137385169869,0.409994388270641,0.0017972424720587
"4837","FBgn0033354",0.00641283987968393,0.410071893582531,0.00248266680749494
"4353","FBgn0032452",0.00112321848571157,0.411228770033394,0.000433468557089331
"10251","FBgn0054039",0.00350641124229187,0.412020775066973,0.00135025194524825
"10438","FBgn0085385",0.00238559964769581,0.412105631695697,0.000918435468711779
"11396","FBgn0264002",0.00108250261332574,0.412203726106079,0.000416642359738437
"2984","FBgn0030191",0.000536617157891083,0.412252811003035,0.000206509801470822
"4020","FBgn0031903",0.00392176939956233,0.4129885279376,0.00150620264650456
"2540","FBgn0028870",0.00190284636067579,0.413009879207838,0.000730768278879323
"2629","FBgn0029131",0.00357101010597665,0.413098258053981,0.00137107731854539
"9408","FBgn0050462",0.00627768377693237,0.413841441329147,0.00240539512038975
"8268","FBgn0039172",0.00223265538075302,0.414584645499711,0.000853737916219224
"11475","FBgn0264975",0.00349119629982404,0.414737357507627,0.00133442894261628
"10183","FBgn0053514",0.00073706974210491,0.414957017233101,0.000281558346816774
"7422","FBgn0037772",0.00653640745278819,0.415016908726725,0.00249647760880206
"3402","FBgn0030869",0.00614013482075564,0.41506970766019,0.00234478830485594
"9775","FBgn0052036",0.0073667695323011,0.415219172062072,0.00281206243319884
"1329","FBgn0015035",0.000515731089410459,0.41549436006863,0.000196717819478776
"349","FBgn0002542",7.70343090586657e-05,0.41558583776868,2.93762064605419e-05
"11324","FBgn0263392",0.00023005481792514,0.41581917899595,8.76728520463187e-05
"5709","FBgn0034885",0.014416394377025,0.415823915754575,0.00549395146339763
"2747","FBgn0029761",0.00285472220441209,0.415838387496548,0.00108786446848434
"9784","FBgn0052062",0.00132190364066057,0.415857737266204,0.000503718274432434
"10264","FBgn0058178",0.000513939684809777,0.415929633697873,0.000195800811218318
"11251","FBgn0262891",0.00563062566915771,0.416185443908954,0.00214365302840877
"9392","FBgn0050423",0.00428837521481834,0.416920453310342,0.00162935443451407
"2246","FBgn0027493",0.00356392661166413,0.417035979270229,0.00135367368272071
