"","ensembl","p.value"
"241","FBgn0004629",0.00765841056973791
"242","FBgn0029093",0.0077233156726844
"243","FBgn0015591",0.00776439432925014
"244","FBgn0036433",0.00776941897471875
"245","FBgn0000044",0.00780822272860637
"246","FBgn0014455",0.00782911870881424
"247","FBgn0002789",0.00786367667244827
"248","FBgn0032213",0.00795525981761901
"249","FBgn0030048",0.00796990202305232
"250","FBgn0053494",0.0079780013211001
"251","FBgn0025879",0.00805195934466756
"252","FBgn0030158",0.00819938101110164
"253","FBgn0037126",0.00826674398438435
"254","FBgn0035767",0.00838891266172106
"255","FBgn0011661",0.008488549476251
"256","FBgn0039735",0.00866168678314475
"257","FBgn0033153",0.00878858690916567
"258","FBgn0038774",0.00879944461699819
"259","FBgn0031959",0.00879954415616036
"260","FBgn0000046",0.00880071626611801
"261","FBgn0032900",0.00882419357222479
"262","FBgn0039099",0.00898638153648245
"263","FBgn0262035",0.00909522945938378
"264","FBgn0010894",0.00918822482518365
"265","FBgn0037635",0.00928441152768537
"266","FBgn0002772",0.00932368696599278
"267","FBgn0032377",0.00932838604474622
"268","FBgn0025583",0.00975063046739205
"269","FBgn0036939",0.00976617492771885
"270","FBgn0039102",0.00978249190497106
"271","FBgn0033978",0.00984309958599057
"272","FBgn0037678",0.00987881548514237
"273","FBgn0029937",0.0100740714287071
"274","FBgn0040153",0.0100905545415689
"275","FBgn0035714",0.0103293605194697
"276","FBgn0026015",0.0103590315749105
"277","FBgn0031629",0.0105016033478197
"278","FBgn0022770",0.0105804257627611
"279","FBgn0260474",0.0106107261467625
"280","FBgn0013767",0.0107139060486005
"281","FBgn0030749",0.0107431086109878
"282","FBgn0011705",0.0108368248534162
"283","FBgn0011277",0.0108530078676625
"284","FBgn0027342",0.0110118099238255
"285","FBgn0034398",0.0110282955472636
"286","FBgn0000181",0.0111582702780346
"287","FBgn0024222",0.0111697351722122
"288","FBgn0051769",0.0113953765438881
"289","FBgn0010470",0.0114196233497633
"290","FBgn0020513",0.0114201447954803
"291","FBgn0031026",0.011479119550738
"292","FBgn0028526",0.0115319379418803
"293","FBgn0001218",0.0115330265609528
"294","FBgn0052801",0.0116399302324587
"295","FBgn0033968",0.0117046232544082
"296","FBgn0002733",0.0118299347292415
"297","FBgn0037874",0.0118595883603438
"298","FBgn0003888",0.0118653162648144
"299","FBgn0002593",0.0118957182050865
"300","FBgn0263706",0.0119140681196778
"301","FBgn0039789",0.0119381331772972
"302","FBgn0029990",0.012015838438513
"303","FBgn0003891",0.0120511821363703
"304","FBgn0034743",0.0121062767301796
"305","FBgn0029642",0.012112657656217
"306","FBgn0003274",0.0121752271281552
"307","FBgn0011722",0.0122090118717833
"308","FBgn0040606",0.0122812109961872
"309","FBgn0037240",0.0127202551014303
"310","FBgn0035142",0.0127215272864004
"311","FBgn0005593",0.0127696692619251
"312","FBgn0040066",0.0128470566062515
"313","FBgn0264291",0.0129546171620182
"314","FBgn0035949",0.0130228535471053
"315","FBgn0029754",0.0131689394352101
"316","FBgn0060296",0.0132187473074864
"317","FBgn0035623",0.013255870022754
"318","FBgn0040922",0.0132912950877737
"319","FBgn0013325",0.013317661981812
"320","FBgn0037975",0.0134186863754384
"321","FBgn0034479",0.013526202089648
"322","FBgn0063494",0.0135352002079323
"323","FBgn0039483",0.0135532153526507
"324","FBgn0086368",0.013795700226482
"325","FBgn0038277",0.0138336275969338
"326","FBgn0034162",0.0139461758606716
"327","FBgn0085195",0.0141448616624693
"328","FBgn0037279",0.0141860231915632
