"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","geneSymbol"
"FBgn0031516",268.525456703203,-0.0540968764385945,0.108026641812324,-0.500773471534713,0.616530557788452,1,"FBgn0031516","CG9663"
"FBgn0031517",5.08470081962744,0.123123849245855,0.241537790973875,0.509749835623744,0.610226734072557,1,"FBgn0031517","CG15406"
"FBgn0031518",526.653236300353,-0.0488097764298765,0.0727559642289483,-0.670869762323292,0.502303500671589,1,"FBgn0031518","CG3277"
"FBgn0031519",7.98837971203753,0.124720483590516,0.242964537450444,0.513327932130648,0.607721948338273,1,"FBgn0031519","CG3326"
"FBgn0031520",618.139141298848,-0.0410036806399862,0.11688684242642,-0.350798086326935,0.725739832976355,1,"FBgn0031520","CG8837"
"FBgn0031522",0.258775849479184,0.0173553012529924,0.0816180426876599,0.212640498123785,0.831607380812048,NA,"FBgn0031522","CG3285"
"FBgn0031523",0.566932797025544,-0.0388467899456565,0.130142208571114,-0.298494933904777,0.765325442146543,NA,"FBgn0031523","CG15408"
"FBgn0031526",0.103258282055361,0.00166514341618386,0.0612146699379257,0.0272017053734404,0.978298855519364,NA,"FBgn0031526","CG8838"
"FBgn0031528",236.58595951079,0.474428933738588,0.130290183959411,3.6413252274353,0.000271238230512997,1,"FBgn0031528","CG15412"
"FBgn0031529",410.546620779522,0.109103085169084,0.0908968703250679,1.20029528826358,0.23002467903521,1,"FBgn0031529","CG9662"
"FBgn0031530",3560.82852884617,-0.248207885326324,0.0666469696453785,-3.72421862009649,0.00019592109381338,1,"FBgn0031530","pgant2"
"FBgn0031531",0.254655493136573,0.0174574540677443,0.0818455050940743,0.213297652054056,0.831094804808104,NA,"FBgn0031531","CG8840"
"FBgn0031533",18.5457733476649,0.0144453386746508,0.224040574404825,0.0644764400958426,0.948590866149554,1,"FBgn0031533","CG2772"
"FBgn0031534",1414.71684526671,0.174043487302142,0.0522749305914936,3.32938724801413,0.000870372968102841,1,"FBgn0031534","Snx1"
"FBgn0031535",426.064394790125,0.276491576909581,0.111073755822572,2.48926107577784,0.0128008925862138,1,"FBgn0031535","CG12795"
"FBgn0031536",1174.12892330652,0.210715656169381,0.0613952305813924,3.43211767712205,0.000598887632909126,1,"FBgn0031536","Cog3"
"FBgn0031538",111.737491842838,0.813448788165933,0.213416212780399,3.8115604131864,0.000138092295222297,1,"FBgn0031538","CG3246"
"FBgn0031540",20.0965362142466,-0.0049526815259319,0.223550542142052,-0.0221546388502373,0.982324601653196,1,"FBgn0031540","CG3238"
"FBgn0031542",5.41774974325364,0.319099335782283,0.239962017007822,1.32979102176776,0.183587134898625,1,"FBgn0031542","CG15414"
"FBgn0031544",1982.5402091297,-0.087721435593731,0.0563674526957788,-1.55624267903631,0.119650396152697,1,"FBgn0031544","CG17593"
"FBgn0031545",0.0668613675618466,-0.0177637945476065,0.0612146699379257,-0.290188521242045,0.771672017301558,NA,"FBgn0031545","CG3213"
"FBgn0031546",1.82525328878745,-0.0271487555503467,0.191030172259909,-0.142117631100751,0.886987091925979,NA,"FBgn0031546","CG8851"
"FBgn0031547",2.33076079513287,0.294553945848701,0.219822385601694,1.33996337562461,0.180257252175811,NA,"FBgn0031547","Sr-CIV"
"FBgn0031548",4.98093879970396,0.0737431553728108,0.235952180019777,0.31253432524603,0.754634480776515,1,"FBgn0031548","CG8852"
"FBgn0031549",91.035698563538,1.02329430625697,0.157411773479075,6.50074822003701,7.99214984208018e-11,8.22951669238997e-07,"FBgn0031549","Spindly"
"FBgn0031550",20.2118876483598,0.345390028585795,0.221358595928483,1.56031902505102,0.118684509673663,1,"FBgn0031550","Che-13"
"FBgn0031554",1.97103749070493,0.226282922671572,0.201634004744011,1.12224583823971,0.26175792784186,NA,"FBgn0031554","CG15418"
"FBgn0031558",36.9148672371061,0.4529754166902,0.223490710468089,2.02681988768781,0.0426808358120174,1,"FBgn0031558","CG16704"
"FBgn0031559",3.23675129499951,0.607957669606016,0.21889781761784,2.7773582954007,0.00548027306087509,NA,"FBgn0031559","CG3513"
"FBgn0031560",25.425390374361,0.296350463026863,0.235518859298092,1.25828761191382,0.208287759692594,1,"FBgn0031560","CG16713"
"FBgn0031561",168.035549039247,0.441516238141162,0.240678020189855,1.83446846451902,0.0665844847903504,1,"FBgn0031561","CG16712"
"FBgn0031562",7.43999979253823,0.356169408838879,0.245379125526106,1.45150655368598,0.146638858652238,1,"FBgn0031562","CG3604"
"FBgn0031563",46.2873876606203,-0.0937812475525436,0.203701301410071,-0.460386099172497,0.645239110627674,1,"FBgn0031563","CG10031"
"FBgn0031564",1.50879793377096,0.0669043692014343,0.197250956630177,0.339184003689636,0.734471118981029,NA,"FBgn0031564","CG2816"
"FBgn0031566",1730.77033585979,-0.0557629862398808,0.0577760371192557,-0.965157685093219,0.334465837676961,1,"FBgn0031566","CG2818"
"FBgn0031568",908.716042328808,-0.573430244644877,0.109898744163209,-5.21780525347299,1.8105568130834e-07,0.00186433035043198,"FBgn0031568","CG10019"
"FBgn0031571",334.312449410892,-0.148078208722214,0.158384962623277,-0.934925931538221,0.349826472126363,1,"FBgn0031571","CG3921"
"FBgn0031573",358.57383948015,0.212502845771394,0.102996695653753,2.06320061456894,0.0390935717845412,1,"FBgn0031573","CG3407"
"FBgn0031574",12.0131970769019,-0.156411915939527,0.238873714810434,-0.654789146908244,0.512603519247743,1,"FBgn0031574","CG3964"
"FBgn0031575",2686.05861828743,0.029686030295149,0.0527309468287673,0.562971690827934,0.573454161042484,1,"FBgn0031575","Cep97"
"FBgn0031579",0.0991383924016436,0.00166514341618385,0.0612146699379257,0.0272017053734404,0.978298855519365,NA,"FBgn0031579","CG15422"
"FBgn0031580",0.050284371816982,-0.000994832816494533,0.0612146699379257,-0.0162515426041394,0.987033715829357,NA,"FBgn0031580","CG15423"
"FBgn0031585",0.480616427557581,0.0155033804468658,0.121725662000418,0.127363287182719,0.898652872140212,NA,"FBgn0031585","CG2955"
