"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","geneSymbol","cg"
"FBgn0265966",27.2904489165485,0.713232052072335,0.12957019823369,5.50459952824927,3.70008383196924e-08,7.45337148374457e-07,"FBgn0265966",NA,"CR44753","CR44753"
"FBgn0265967",1.10871992150571,-0.0179311045893876,0.0926015292397268,-0.193637240514329,0.846459936327292,0.942347292568172,"FBgn0265967",NA,"CR44754","CR44754"
"FBgn0265968",0,NA,NA,NA,NA,NA,"FBgn0265968",7354403,"Tfb5","CG42373"
"FBgn0265974",4237.40616823416,0.0833226251891659,0.0785541226936261,1.06070340208798,0.288824713394646,0.566888295409986,"FBgn0265974",36614,"ttv","CG10117"
"FBgn0265976",0.0463731090906735,0.00323483801994542,0.0303645839326116,0.106533256873354,0.915159270368862,NA,"FBgn0265976",NA,"CR44755","CR44755"
"FBgn0265977",0.85448532855739,-0.0847810405930502,0.0762185345546682,-1.11234152018812,0.265991338238128,0.541917239761964,"FBgn0265977",NA,"CR44756","CR44756"
"FBgn0265978",1.13852548498474,0.278567931109741,0.09852836801791,2.82728656440452,0.0046944297729439,0.0280077288089073,"FBgn0265978",NA,"CR44757","CR44757"
"FBgn0265979",0.436374278738031,-0.0402368642983202,0.0560127423368672,-0.718351978846723,0.472540288119066,NA,"FBgn0265979",NA,"CR44758","CR44758"
"FBgn0265980",0.790963820893505,0.0141143079023174,0.0762194154963383,0.185179954613998,0.853087891075715,NA,"FBgn0265980",NA,"CR44759","CR44759"
"FBgn0265981",1.13041644079805,0.0559638502528276,0.0973528249407795,0.574855945750633,0.565388726346366,0.795947495534773,"FBgn0265981",NA,"CR44760","CR44760"
"FBgn0265982",1.70749968298015,-0.0940256964344105,0.103565031525959,-0.907890385866806,0.363936137599607,0.638389969312458,"FBgn0265982",NA,"CR44761","CR44761"
"FBgn0265983",0,NA,NA,NA,NA,NA,"FBgn0265983",NA,"CR44762","CR44762"
"FBgn0265984",0.617569157529605,-0.000485478260310599,0.0783447337680048,-0.0061966929614976,0.995055786000154,NA,"FBgn0265984",NA,"CR44763","CR44763"
"FBgn0265985",1.64826558881788,-0.171607268985622,0.0950275809386445,-1.80586801527045,0.0709389582182676,0.231020262249994,"FBgn0265985",NA,"CR44764","CR44764"
"FBgn0265986",0,NA,NA,NA,NA,NA,"FBgn0265986",NA,"CR44765","CR44765"
"FBgn0265987",7.44330318950793,0.0698509405795305,0.149003952915792,0.468785822205711,0.639222735030656,0.843267830653604,"FBgn0265987",NA,"CR44766","CR44766"
"FBgn0265988",2523.68775334284,-0.147760447296325,0.0603712818022103,-2.44752874024475,0.0143839652968857,0.0697308392371244,"FBgn0265988",38259,"mv","CG42863"
"FBgn0265991",1290.98130979103,0.400076412164735,0.0546992633319229,7.31410969352575,2.59093431752107e-13,9.42213518182885e-12,"FBgn0265991",36740,"Zasp52","CG30084"
"FBgn0265992",0.0498151295197756,-0.00294465996536758,0.0303645839326116,-0.0969767928288657,0.922744824207781,NA,"FBgn0265992",NA,"CR44767","CR44767"
"FBgn0265993",0.67847053695451,-0.0384439511539582,0.0702583286613331,-0.547179984016842,0.584255086082532,NA,"FBgn0265993",NA,"CR44768","CR44768"
"FBgn0265994",0.359880389756284,-0.0368995156237171,0.0426473961572914,-0.865223177697061,0.386916306316899,NA,"FBgn0265994",NA,"CR44769","CR44769"
"FBgn0265995",0,NA,NA,NA,NA,NA,"FBgn0265995",NA,"CR44770","CR44770"
"FBgn0265996",3.2928612364369,0.0336453289692826,0.129754689929287,0.259299521178144,0.7954041488227,0.9213325516007,"FBgn0265996",NA,"CR44771","CR44771"
"FBgn0265997",6.31908373228918,-0.3822168161459,0.148533069819492,-2.57327756445347,0.010074037956398,0.0525572323006663,"FBgn0265997",NA,"CR44772","CR44772"
