"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","geneSymbol","cg","Bonf.correction"
"FBgn0036656",4.29942692647649,-0.689230351614152,0.238796457825952,-2.88626706563839,0.0038984119976306,0.0121099620052983,"FBgn0036656",39868,"CG13026","CG13026",NA
"FBgn0036687",72.1718013966665,0.769133246505157,0.17214720553341,4.46788110281514,7.89981904658172e-06,5.35719969224476e-05,"FBgn0036687",39905,"CG6652","CG6652",0.0813444367226519
"FBgn0036696",110.427416471863,0.580909801499776,0.151108629427526,3.8443191742295,0.00012088758475324,0.000593752609546585,"FBgn0036696",39915,"CG14057","CG14057",1
"FBgn0036713",7259.40235580287,0.690786323029999,0.0716190760656931,9.64528392402564,5.14685673748219e-22,4.63590668555957e-20,"FBgn0036713",39933,"Mip","CG6456",5.29971838258541e-18
"FBgn0036714",1701.37551529678,0.643325531211167,0.07500468018707,8.57713851464524,9.72624650292433e-18,5.54247179546744e-16,"FBgn0036714",39934,"CG7692","CG7692",1.00151160240612e-13
"FBgn0036727",26.4929686740592,0.727499554466245,0.234647370368202,3.10039508784895,0.00193262664562078,0.00656893092055341,"FBgn0036727",39949,"CG7589","CG7589",1
"FBgn0036730",9.8442671361773,-0.817836405598932,0.235655407979189,-3.47047586394095,0.000519537032943123,0.00213099857544684,"FBgn0036730",39952,"qjt","CG13732",1
"FBgn0036750",4.4140752604213,-0.567318524403755,0.239809029459948,-2.3657096051861,0.0179955534526907,0.0441547312199259,"FBgn0036750",39974,"CG6034","CG6034",NA
"FBgn0036762",7331.60209058997,-0.693970758936929,0.071881029860831,-9.65443539527088,4.70745194734595e-22,4.27459599999243e-20,"FBgn0036762",39988,"CG7430","CG7430",4.84726327018213e-18
"FBgn0036772",479.353708676353,1.19232460406075,0.182541566627183,6.53179780414571,6.49848503671128e-11,1.37205254017067e-09,"FBgn0036772",39998,"CG5290","CG5290",6.69149004230161e-07
"FBgn0036785",59.6669546082637,1.0411992871578,0.194043503703354,5.36580337546134,8.05896975932822e-08,8.89433134801748e-07,"FBgn0036785",40013,"CG13700","CG13700",0.000829832116118027
"FBgn0036787",22.9364270882547,1.10656763470387,0.236242562436868,4.68403162956542,2.8128657350319e-06,2.16668257893595e-05,"FBgn0036787",40017,"CG4306","CG4306",0.0289640784736234
"FBgn0036789",865.10095694165,-0.500592477514032,0.0890410641641754,-5.62204059680859,1.88714900620187e-08,2.38164601697952e-07,"FBgn0036789",40019,"AstC-R2","CG13702",0.000194319733168607
"FBgn0036833",30.7422682169524,0.638650282666918,0.221476634322733,2.88360117364022,0.00393156331208628,0.0121909024521632,"FBgn0036833",40069,"CG3819","CG3819",1
"FBgn0036836",692.932397470665,0.642105085332378,0.139860868040401,4.59102745699317,4.4106930158762e-06,3.23885800751619e-05,"FBgn0036836",40072,"CG11619","CG11619",0.0454169059844772
"FBgn0036843",2536.89760451488,-0.551549792720334,0.0577446219686073,-9.55153525847277,1.27788324562344e-21,1.08951740231819e-19,"FBgn0036843",40080,"CG6812","CG6812",1.31583637801846e-17
"FBgn0036910",267.944154866643,-0.516024481245771,0.113164070717316,-4.55996747001792,5.11615454962717e-06,3.66767202598112e-05,"FBgn0036910",40161,"Cyp305a1","CG8733",0.0526810433975109
"FBgn0036929",1007.64556267311,0.594444561336659,0.0574061775787114,10.3550625805315,3.96926911424903e-25,4.92586297078304e-23,"FBgn0036929",40190,"CG7668","CG7668",4.08715640694222e-21
"FBgn0036931",294.725427243286,1.06059394800638,0.141882792048896,7.47514150722998,7.71208210554592e-14,2.6181229494481e-12,"FBgn0036931",40192,"CG14183","CG14183",7.94113094408063e-10
"FBgn0036937",21.8491388861878,0.76499817775165,0.231091750201162,3.31036558893051,0.000931741891213052,0.00349332835950271,"FBgn0036937",40198,"Ir76b","CG7385",1
"FBgn0036939",11.1337058365049,0.954360449658943,0.245107475114434,3.89364073540954,9.87508680643574e-05,0.000495707166476768,"FBgn0036939",40200,"CG7365","CG7365",1
"FBgn0036975",3626.23773933582,0.785330325224474,0.173643690972741,4.52265395203883,6.10690378332963e-06,4.28981184628985e-05,"FBgn0036975",40241,"CG5618","CG5618",0.0628827882569453
"FBgn0036995",76.1607938654609,0.702491728809434,0.200618248936259,3.50163423583979,0.000462413962570053,0.00192856667212282,"FBgn0036995",40266,"atk","CG5195",1
"FBgn0037003",13.2424669789955,-0.644320163784636,0.240331974932728,-2.68095896921327,0.00734115165394222,0.0208528287952392,"FBgn0037003",40274,"CG18281","CG18281",1
"FBgn0037007",3366.10626174769,0.517250713035645,0.0809089700350854,6.39299589169587,1.62666633926923e-10,3.18740988478912e-09,"FBgn0037007",40278,"CG5059","CG5059",1.67497832954552e-06
"FBgn0037025",68.8693052603931,1.18949987935093,0.204263376197251,5.82336345112728,5.76749396976575e-09,8.29049422758219e-08,"FBgn0037025",40300,"Spc105R","CG11451",5.93878854066779e-05
"FBgn0037106",609.655670719493,0.520823108694916,0.0661947401043292,7.86804371274891,3.60229722013818e-15,1.50689354500836e-13,"FBgn0037106",40400,"CG11307","CG11307",3.70928544757628e-11
"FBgn0037140",877.929850368966,-0.984528193574963,0.0663839955052241,-14.8308065232001,9.26134990619245e-50,6.46500106889147e-47,"FBgn0037140",40437,"CG7442","CG7442",9.53641199840637e-46
"FBgn0037143",27.1509528742989,0.578883993647733,0.220986282628523,2.61954718076703,0.00880465922978374,0.0241619751689078,"FBgn0037143",NA,"CG7448","CG7448",1
"FBgn0037151",99.5659527975259,0.870999060110462,0.171514291128642,5.07828854598,3.80849987088827e-07,3.62326533713382e-06,"FBgn0037151",40450,"CG7130","CG7130",0.00392161231705365
"FBgn0037166",817.789499065323,0.514979838519922,0.112426118488283,4.58060676152927,4.63628868618069e-06,3.37566547170484e-05,"FBgn0037166",40471,"CG11426","CG11426",0.0477398646016026
"FBgn0037171",395.566469475399,-0.887275434480736,0.15428102840859,-5.75103396466168,8.86992915258383e-09,1.21855152158928e-07,"FBgn0037171",40476,"CG14459","CG14459",9.13336604841557e-05
"FBgn0037186",1126.14474052807,0.674873353297956,0.120275817389274,5.61104773966094,2.01105271240805e-08,2.51246619070307e-07,"FBgn0037186",40492,"CG11241","CG11241",0.000207078097796656
"FBgn0037217",55.4675281064326,0.649392107903434,0.195086902172768,3.32873248111929,0.000872421592051234,0.0033041969351035,"FBgn0037217",40526,"CG14636","CG14636",1
"FBgn0037222",11.3551474277632,0.782291837354604,0.246097262513409,3.17879130131315,0.00147890531190221,0.00520044105676006,"FBgn0037222",40532,"CG14642","CG14642",1
"FBgn0037223",12.3020185573971,-0.622592530316177,0.230522548252147,-2.70078799248385,0.00691754182965015,0.0197904776371318,"FBgn0037223",NA,"TwdlU","CR14638",1
"FBgn0037225",1994.8058968266,0.94971029391652,0.0653273286337126,14.5377181920526,6.98835072166991e-48,4.33627162279618e-45,"FBgn0037225",40535,"TwdlG","CG14643",7.19590473810351e-44
"FBgn0037228",96.8868542733777,-0.792570784541027,0.137710119344945,-5.75535616635219,8.64593103188017e-09,1.19070781374932e-07,"FBgn0037228",40538,"CG1092","CG1092",8.90271518352701e-05
"FBgn0037236",77.8199616793764,1.01160057143028,0.176812204704825,5.72132773933267,1.05694786254695e-08,1.41040031980727e-07,"FBgn0037236",40548,"Skp2","CG9772",0.000108833921406459
"FBgn0037248",873.713191213226,0.758507176460664,0.0876466874443114,8.65414539417249,4.96618683426675e-18,2.91933372378555e-16,"FBgn0037248",40562,"srl","CG9809",5.11368258324448e-14
"FBgn0037263",67.5587908095776,0.564052042216353,0.173589414848985,3.24934583544193,0.00115670757119682,0.00420920755247254,"FBgn0037263",40578,"slx1","CG18271",1
"FBgn0037294",53.8799299154654,-0.654702157755366,0.18206073076514,-3.59606464833945,0.000323067543459134,0.00140511736483453,"FBgn0037294",40618,"CG12590","CG12590",1
"FBgn0037364",81.6421091721495,0.926905034371532,0.16538946762199,5.60437764084254,2.09004574850225e-08,2.60823697933203e-07,"FBgn0037364",40701,"Rab23","CG2108",0.000215212010723277
"FBgn0037374",1491.72440316423,-0.508737966536698,0.0416136190228339,-12.2252757266208,2.27807421681581e-34,6.69573971779362e-32,"FBgn0037374",40714,"jagn","CG10978",2.34573302105524e-30
"FBgn0037418",19.0591311562096,-0.828591006865114,0.232731986510896,-3.56027987079603,0.000370459751175162,0.00158349213963849,"FBgn0037418",40765,"Osi11","CG15596",1
"FBgn0037419",2.22933966325308,-0.533053460468922,0.212016392211534,-2.51420871239561,0.0119299808440034,0.0312124516389493,"FBgn0037419",40766,"Osi12","CG1154",NA
"FBgn0037488",3.55032743705521,-0.600446490561445,0.219400299166394,-2.73676240571607,0.0062047088145569,0.0180526318272733,"FBgn0037488",40869,"CG14607","CG14607",NA
"FBgn0037515",465.160268039731,1.33957118401489,0.122937449171488,10.8963639073582,1.19955634827813e-27,2.02997649301794e-25,"FBgn0037515",40918,"Sp7","CG3066",1.23518317182199e-23
"FBgn0037518",67.8448935959704,0.609058436538111,0.160028836509802,3.80592929262975,0.000141272741575899,0.000679240314533456,"FBgn0037518",40921,"CG2641","CG2641",1
"FBgn0037521",23116.765205615,-0.602961773046066,0.085786127425767,-7.02866292184391,2.08522046311892e-12,5.92647778557653e-11,"FBgn0037521",40924,"CG2993","CG2993",2.14715151087355e-08
"FBgn0037525",16290.2939231238,-0.620872481258543,0.13283767666362,-4.67391855121614,2.9550656274136e-06,2.2621746396561e-05,"FBgn0037525",40928,"CG17816","CG17816",0.0304283107654778
"FBgn0037565",76.2412102630999,1.09965662547717,0.168496573041558,6.52628481177449,6.74210628111816e-11,1.41812777879113e-09,"FBgn0037565",40979,"CG9626","CG9626",6.94234683766737e-07
"FBgn0037579",57.020412965158,1.92434438637665,0.193509644587787,9.94443657046591,2.6667882480683e-23,2.70775981297044e-21,"FBgn0037579",40995,"CG18193","CG18193",2.74599185903593e-19
"FBgn0037589",3.57198462737746,-0.558935865053557,0.235583158226876,-2.37256291689273,0.0176651542468157,0.0434794050035146,"FBgn0037589",41006,"Obp85a","CG11732",NA
"FBgn0037601",10.0036415171504,0.603496497852055,0.245244671916385,2.46079351341754,0.0138630126127044,0.0354234701146867,"FBgn0037601",41019,"Cyp313b1","CG9716",1
"FBgn0037635",1063.61723411706,0.728175794189563,0.0910526150485114,7.99730786207077,1.27168995203491e-15,5.65876696186371e-14,"FBgn0037635",41057,"CG9837","CG9837",1.30945914361035e-11
"FBgn0037668",10.5031772114164,0.955585784002144,0.246902569483246,3.87029501556883,0.000108703726388939,0.000540566304558355,"FBgn0037668",41101,"CG16736","CG16736",1
"FBgn0037670",356.998602609169,0.518465123523507,0.0953140948599648,5.43954306322936,5.34173968469769e-08,6.13174620127323e-07,"FBgn0037670",41103,"Ibf1","CG8436",0.000550038935333321
"FBgn0037672",849.298557838352,0.64389649642303,0.10563566524247,6.09544603089368,1.09132727554194e-09,1.83569794285059e-08,"FBgn0037672",41105,"sage","CG12952",1.12373969562553e-05
