"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","geneSymbol","cg","Bonf.correction"
"FBgn0038795",15.1988566265012,0.666036498352089,0.149294319673119,4.46123134363303,8.14900604014011e-06,0.000110518092918424,"FBgn0038795",42421,"CG4335","CG4335",0.100460946462847
"FBgn0038827",126.64092620868,0.529635489286247,0.100287901353208,5.28115038942635,1.28375258272577e-07,2.34808632638625e-06,"FBgn0038827",2768674,"Fancd2","CG17269",0.00158261018398433
"FBgn0038909",6.9136656252046,-1.03534026793208,0.148090733448885,-6.99125626445382,2.72435603055093e-12,8.86170478750182e-11,"FBgn0038909",42573,"CG6569","CG6569",3.35858611446319e-08
"FBgn0038912",204.489618592702,-0.594952528738016,0.10282958965197,-5.78581058965277,7.21634912276314e-09,1.63535205855559e-07,"FBgn0038912",42576,"CG6656","CG6656",8.8963151985424e-05
"FBgn0038914",16.0556729616781,1.32253309967564,0.145234496922286,9.10619121284471,8.53248782500154e-20,5.28585476917683e-18,"FBgn0038914",42578,"fit","CG17820",1.05188509906619e-15
"FBgn0038966",236.389665614645,-0.565994117166893,0.0704627513340454,-8.03252933572893,9.54833964262756e-16,4.26492504037364e-14,"FBgn0038966",42635,"pinta","CG13848",1.17711931114313e-11
"FBgn0039007",217.615166041252,0.714538535134324,0.0722140417704294,9.89473124085567,4.38787406423697e-23,3.14498322464613e-21,"FBgn0039007",42683,"CCAP","CG4910",5.40937114639134e-19
"FBgn0039031",33.3638437478,0.636215120535913,0.149311306402192,4.26099761542621,2.03516404914564e-05,0.000248903793629637,"FBgn0039031",42709,"CG17244","CG17244",0.250895023978674
"FBgn0039045",174.701396791411,0.645433370601405,0.0736265836033916,8.76630883864171,1.84619156213442e-18,1.00707299017669e-16,"FBgn0039045",42723,"CG17119","CG17119",2.27598495779931e-14
"FBgn0039052",5.12097240167183,0.524107431245851,0.133719915826988,3.91944182737868,8.87542797188376e-05,0.00092490512288574,"FBgn0039052",42731,"CG6733","CG6733",1
"FBgn0039073",42.5209151692424,0.630575681283648,0.150825532258007,4.18082848336953,2.90448893919989e-05,0.000344625020620368,"FBgn0039073",42762,"CG4408","CG4408",0.358065396424563
"FBgn0039114",221.074975932274,0.51145817856981,0.136254791153957,3.75368949772859,0.000174250690350268,0.00170760135980771,"FBgn0039114",42810,"Lsd-1","CG10374",1
"FBgn0039197",6.77449530592447,0.752197789774284,0.15127048335751,4.97253511113965,6.60829978250012e-07,1.07334808588487e-05,"FBgn0039197",42914,"CG17780","CG17780",0.00814671197186614
"FBgn0039239",17.4140923650551,-0.847563808657345,0.146123347523477,-5.80033117925367,6.61840758255026e-09,1.50816504025286e-07,"FBgn0039239",42969,"CG13641","CG13641",8.15917286776796e-05
"FBgn0039241",496.702366624477,0.526057950733735,0.0909834118604428,5.78191057003492,7.38569699778394e-09,1.6704421250817e-07,"FBgn0039241",42973,"CG11089","CG11089",9.10508725886804e-05
"FBgn0039250",97.7247991104146,-0.95737374383422,0.0844237278730502,-11.340102693331,8.30469514229389e-30,7.69776554242098e-28,"FBgn0039250",42982,"Mink","CG11120",1.02380281714199e-25
"FBgn0039307",7.92468081523657,0.746391304693233,0.149339805457664,4.99793944692679,5.7946173914706e-07,9.52480576027327e-06,"FBgn0039307",NA,"CR13656","CR13656",0.00714360432020495
"FBgn0039310",7.58248495750158,0.87582011898565,0.145334975778788,6.02621711871147,1.67841677344469e-09,4.1632841012125e-08,"FBgn0039310",43050,"CG11878","CG11878",2.06915219830261e-05
"FBgn0039312",1188.9614954389,-0.577227433574524,0.110150691274468,-5.24034326880636,1.60278167710689e-07,2.90148201400496e-06,"FBgn0039312",43052,"CG10514","CG10514",0.00197590925153738
"FBgn0039316",16.2927467406604,2.29683134712558,0.15129004808894,15.1816419925739,4.67919978299221e-52,8.87464229611199e-50,"FBgn0039316",43056,"CG11893","CG11893",5.76851749247279e-48
"FBgn0039321",981.960836206241,-1.77370530746361,0.0570841807919597,-31.0717484749021,5.80163402915525e-212,7.15225443114259e-209,"FBgn0039321",43061,"CG10550","CG10550",7.15225443114259e-208
"FBgn0039325",46.0401256930413,-0.677553138083831,0.150799328924797,-4.49307793950281,7.0201077194075e-06,9.62668386705847e-05,"FBgn0039325",43065,"CG10560","CG10560",0.0865438879648557
"FBgn0039328",318.96516643416,1.00848777825637,0.0781364975173252,12.9067440991037,4.12371782913997e-38,4.93564984443083e-36,"FBgn0039328",43068,"CHKov2","CG10675",5.08371933976376e-34
"FBgn0039417",475.114727815677,-0.8474271438406,0.0549609811458684,-15.4187048006203,1.22537307094888e-53,2.53551815914935e-51,"FBgn0039417",43180,"CG6073","CG6073",1.51063992186578e-49
"FBgn0039490",44.8710669186374,1.85580525578031,0.134980718310299,13.748669284113,5.18749017431421e-43,7.79894864255434e-41,"FBgn0039490",43269,"CG5882","CG5882",6.39513788689456e-39
